Cement,Clinker,Slag,FlyAsh,Limestones,Gypsum,Water,Chemical Admixture,coarseagg,fineagg,Age,Strength (MPa),CO2 (kg),Cost (USD)
360,342,0,0,0,18,155,3.96,1019,842,7,37.89,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.92,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.95,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,37.97,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,38.08,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,38.15,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,38.16,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,38.19,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,38.28,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,38.29,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,28,38.31,368.1164,84.5235
